Kelompok umur,BB (kg),TB (cm),Energi (kkal),Protein (g),,Lemak (g),,Karbohidrat (g),Serat (g),Air (mL),Vitamin A (mcg) a,Vitamin C (mg),Kalsium (mg),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg),Mangan (mg),Tembaga (mcg),Kromium (mcg),Besi (mg),Iodium (mcg),Seng (mg),Selenium (mcg),Flour (mg)
,,,,,Total,n-6,n-3,,,,,,,,,,,,,,,,,,
Laki-laki,,,,,,,,,,,,,,,,,,,,,,,,,
13-15 tahun,46,158,2475,72,83,16,1.6,340,35,2000,600,75,120,120,200,150,470,2.2,800,30,19,150,18,30,2
16-18 tahun,56,165,2675,66,89,16,1.6,368,37,2200,600,90,120,120,250,150,470,2.3,890,35,15,150,17,30,2
19-29 tahun,60,168,2725,62,91,17,1.6,375,38,2500,600,90,110,700,350,150,470,2.3,900,35,13,150,13,30,3
30-49 tahun,62,168,2625,65,73,17,1.6,394,38,2600,600,90,100,700,350,150,470,2.3,900,35,13,150,13,30,3
50-64 tahun,62,168,2325,65,65,14,1.6,349,33,2600,600,90,100,700,350,130,470,2.3,900,30,13,150,13,30,3
65-80 tahun,60,168,1900,62,53,14,1.6,309,27,1900,600,90,100,700,350,120,470,2.3,900,30,13,150,13,30,3
80+ tahun,58,168,1525,60,42,14,1.6,248,22,1600,600,90,100,700,350,120,470,2.3,900,30,13,159,13,30,3
,,,,,,,,,,,,,,,,,,,,,,,,,
Perempuan,,,,,,,,,,,,,,,,,,,,,,,,,
13-15 tahun,46,155,2125,59,71,11,1.1,292,30,2000,600,65,120,120,200,150,450,1.6,800,22,26,150,16,30,2
16-18 tahun,50,158,2125,59,71,11,1.1,292,30,2100,600,75,120,120,220,150,470,1.6,890,24,26,150,14,30,2
19-29 tahun,54,159,2250,56,75,12,1.1,309,32,2300,500,75,110,700,310,150,470,1.8,900,25,26,150,10,30,2
30-49 tahun,55,1159,2150,57,60,12,1.1,323,30,2300,500,75,100,700,320,150,470,1.8,900,25,26,150,10,30,2
50-64 tahun,55,159,1900,57,53,11,1.1,285,28,2300,500,75,100,700,320,130,470,1.8,900,20,12,150,10,30,2
65-80 tahun,54,159,1550,56,43,11,1.1,252,22,1600,500,75,100,700,320,120,470,1.8,900,20,12,150,10,30,2
80+ tahun,53,159,1425,55,40,11,1.1,232,20,1500,500,75,100,700,320,120,470,1.8,900,20,12,150,10,30,2
