NAMA BAHAN,Air (g),Energi (kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (mg),Fosfor (mg),Besi (mg),Natrium (mg),Kalium (mg),Tembaga (mg),Seng (mg) ,Retinol (mcg),B-Kar (mcg),Kar-Total (mcg),Thiamin (mg),Riboflavin (mg),Niasin (mg),Vitamin C,BDD (%)
"Beras giling, mentah",12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27.0,71.0,0.1,0.5,0,0,0.0,0.2,0.08,2.6,0,100.0
"Beras giling var pelita, mentah",11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34.0,0.0,0.0,0.0,0,0,0.0,0.26,0.0,0.0,0,100.0
"Beras giling rojole, mentah",12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34.0,112.9,0.14,0.1,0,0,80.0,0.2,0.02,1.5,0,100.0
"Beras hitam, mentah",12.9,351,8.0,1.3,76.9,20.1,0.9,6,198,0.1,15.0,105.0,0.1,1.6,0,0,0.0,0.21,0.06,0.0,0,100.0
"Beras jagung kuning, kering, mentah",10.8,358,5.5,0.1,82.7,10.0,0.9,20,90,1.4,1.0,80.0,0.1,4.1,0,641,0.0,0.12,0.08,1.0,3,100.0
"Beras jagung putih, kering, mentah",22.5,307,4.8,0.1,71.8,10.0,0.8,17,78,1.2,1.0,70.0,0.1,3.5,0,301,0.0,0.15,0.07,0.9,0,100.0
"Beras ketan hitam tumbuk, mentah",13.7,360,8.0,2.3,74.5,1.0,1.5,10,347,6.2,11.0,288.0,0.28,2.2,0,0,0.0,0.24,0.1,2.0,0,100.0
"Beras ketan putih tumbuk, mentah",12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3.0,282.0,0.28,2.2,0,0,0.0,0.28,0.0,1.4,0,100.0
"Beras ladang, mentah",9.8,376,7.5,3.8,78.0,5.9,0.9,20,110,0.8,10.0,70.0,0.1,1.4,0,0,0.0,0.2,0.2,5.1,0,100.0
"Beras menir, mentah",12.0,362,7.7,4.4,73.0,0.2,0.2,22,272,3.7,90.0,201.0,0.1,0.5,0,0,0.0,0.55,0.0,1.9,0,100.0
Beras parboiled,10.0,353,6.8,0.6,80.0,0.5,2.5,5,142,0.8,2.0,46.0,0.28,1.0,0,0,0.0,0.22,0.11,3.4,0,100.0
"Beras tumbuk, mentah",11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5.0,85.0,0.5,1.5,0,0,0.0,0.25,0.22,5.1,0,100.0
"Beras tumbuk merah, mentah",14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10.0,202.0,0.36,1.9,0,0,0.0,0.34,0.0,3.3,0,100.0
"Centel, mentah",11.0,366,11.0,3.3,73.0,1.2,1.7,28,287,4.4,7.0,249.0,0.0,0.0,0,0,0.0,0.09,0.14,2.8,0,100.0
"Jagung muda, kuning, mentah",61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5.0,33.6,0.13,0.9,0,113,261.0,0.24,0.1,0.8,9,100.0
"Jagung kuning pipil, kering, mentah",11.5,366,9.8,7.3,69.1,22.0,2.4,30,538,2.3,5.0,79.4,0.1,4.1,0,636,641.0,0.12,0.12,1.8,3,100.0
"Jagung pipil var, harapan, kering",11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1.0,79.6,0.1,4.1,0,637,385.0,0.19,0.08,1.0,0,100.0
"Jagung pipil var, metro, kering",10.6,368,5.5,4.6,78.0,2.9,1.3,7,300,2.4,1.0,80.2,0.1,4.1,0,642,554.0,0.16,0.08,1.0,0,100.0
"Jali, mentah",23.0,324,11.0,4.0,61.0,3.1,1.0,213,176,11.0,24.0,0.0,0.1,0.4,0,0,0.0,0.14,0.08,1.8,0,90.0
"Jawawut, mentah",11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7.0,255.1,0.45,1.5,0,33,0.0,0.33,0.28,4.5,0,100.0
"Jampang huma, mentah",11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53.0,396.7,0.7,1.6,0,33,0.0,0.51,0.3,0.7,0,100.0
Nasi,56.7,180,3.0,0.3,39.8,0.2,0.2,25,27,0.4,1.0,38.0,0.1,0.6,0,0,0.0,0.05,0.1,2.6,0,100.0
Nasi tim,71.0,120,2.4,0.4,26.0,0.5,0.2,3,7,0.4,0.0,23.9,0.1,0.4,0,0,0.0,0.1,0.0,1.4,0,100.0
"Beras, tapai",75.5,99,1.7,0.3,22.4,0.0,0.2,4,29,0.0,26.0,2.0,0.1,0.5,0,0,0.0,0.0,0.0,0.0,0,100.0
